Bus,Lat,Lon
135,41.95025073,-87.64447868
135,41.9403636,-87.63959169
135,41.88697136,-87.62819231
135,41.88802966,-87.6208216
135,41.88835313,-87.62505412
135,41.88826128,-87.62243629
135,41.88735075,-87.62634695
134,41.87807297,-87.63518751
134,41.88185933,-87.63236582
134,41.87866011,-87.63222098
134,41.88429558,-87.63232827
134,41.88622455,-87.63236582
134,41.93790554,-87.63943076
134,41.93999649,-87.63948441
134,41.93872357,-87.63946295
134,41.93302107,-87.63928592
134,41.93579058,-87.63934493
134,41.93449763,-87.63929129
134,41.93676427,-87.63938248
134,41.92659567,-87.63772488
134,41.92831582,-87.63880849
134,41.93126113,-87.63893187
134,41.88782998,-87.62095571
134,41.88817742,-87.62533307
134,41.88677966,-87.62783825
134,41.88798972,-87.62191594
134,41.87938304,-87.63704896
134,41.87940062,-87.63412213
134,41.87956677,-87.63233364
134,41.88177146,-87.63244092
134,41.88403598,-87.63254285
134,41.8863803,-87.63260186
134,41.93753842,-87.63951123
134,41.93858391,-87.63954878
134,41.93299314,-87.63937175
134,41.93539551,-87.63941467
134,41.93418236,-87.63937175
134,41.93641709,-87.63945758
134,41.92653979,-87.63778389
134,41.92831582,-87.63890505
134,41.93132499,-87.63903916
134,41.88697136,-87.62819231
134,41.88802966,-87.6208216
134,41.88835313,-87.62505412
134,41.88826128,-87.62243629
134,41.88735075,-87.62634695
24,41.80741305,-87.63079405
24,41.80622546,-87.63077796
24,41.80523778,-87.6307565
24,41.80380223,-87.63072431
24,41.79628803,-87.63050973
24,41.79261259,-87.63040781
24,41.77082758,-87.62979627
24,41.75084815,-87.63214588
24,41.75080813,-87.63400197
24,41.75088017,-87.63010204
24,41.74356389,-87.63231218
24,41.74123036,-87.6319474
24,41.73942911,-87.63189375
24,41.73592655,-87.65104473
24,41.73598259,-87.64309466
24,41.73596257,-87.64818549
24,41.73600661,-87.63650715
24,41.73590653,-87.65305102
24,41.7359946,-87.64129221
24,41.73600661,-87.64544964
24,41.7360026,-87.6388514
24,41.86178667,-87.63020933
24,41.858615,-87.63021667
24,41.85765551,-87.63016641
24,41.85565376,-87.63011813
24,41.85312851,-87.6300323
24,41.87439903,-87.63063848
24,41.88545217,-87.63107514
24,41.87213336,-87.63056874
24,41.86717595,-87.63039172
24,41.87955479,-87.62930274
24,41.87591608,-87.62916863
24,41.87480965,-87.6291579
24,41.87801306,-87.62925446
24,41.88210695,-87.62938321
24,41.88098066,-87.62934029
24,41.8847309,-87.62944222
24,41.83817875,-87.62998402
24,41.83443776,-87.6298821
24,41.83114823,-87.6297909
24,41.81624131,-87.62939394
24,41.81063982,-87.62989819
24,41.82396504,-87.62959242
24,41.8189919,-87.62945294
24,41.75107627,-87.62749493
24,41.73657904,-87.65311539
24,41.75984826,-87.63047755
24,41.75821961,-87.63122857
24,41.75615473,-87.63216197
24,41.75429788,-87.63310075
24,41.75253301,-87.63364255
24,41.75068006,-87.63412535
24,41.74885507,-87.63462424
24,41.746986,-87.63509095
24,41.74544107,-87.63556302
24,41.74427635,-87.63586342
24,41.85092283,-87.63194203
24,41.84899679,-87.63188303
24,41.84556815,-87.63174891
24,41.80895248,-87.63085842
24,41.80167083,-87.6306653
24,41.78981287,-87.63034344
24,41.79110476,-87.63037026
24,41.78712903,-87.63028979
24,41.78530507,-87.63022542
24,41.78296505,-87.63016105
24,41.781505,-87.63012886
24,41.77974488,-87.63009667
24,41.77644455,-87.63000548
24,41.77441625,-87.62997329
24,41.76895915,-87.62975872
24,41.76714267,-87.62977481
24,41.76531415,-87.62973189
24,41.76347357,-87.62967288
24,41.85268498,-87.63199031
24,41.79485627,-87.63048291
24,41.77259994,-87.62984991
24,41.76246522,-87.62966216
24,41.8398853,-87.63175964
24,41.83647615,-87.63167381
24,41.82876991,-87.63148606
24,41.82563599,-87.63140559
24,41.82129462,-87.63135195
24,41.81805639,-87.63127685
24,41.8048539,-87.63257504
24,41.79626403,-87.63190448
24,41.79255659,-87.63184011
24,41.77081557,-87.63004839
24,41.75078812,-87.63206005
24,41.7507521,-87.6336962
24,41.75082013,-87.6301074
24,41.74350385,-87.63229609
24,41.74392412,-87.635445
24,41.74151855,-87.63203323
24,41.73919695,-87.63197422
24,41.73599059,-87.65076578
24,41.73609067,-87.64406562
24,41.73601461,-87.63293445
24,41.73601061,-87.64883459
24,41.73621877,-87.63611555
24,41.73618274,-87.64106691
24,41.73606665,-87.6455462
24,41.73620275,-87.63864219
24,41.86869797,-87.63068676
24,41.86184979,-87.63036382
24,41.85941,-87.630375
24,41.8574845,-87.63026941
24,41.8790044,-87.63086593
24,41.85521744,-87.63023293
24,41.853043,-87.6301471
24,41.87465946,-87.63075328
24,41.88545217,-87.63107514
24,41.88148949,-87.63095713
24,41.8719616,-87.63065457
24,41.88430916,-87.63104403
24,41.86755945,-87.63064384
24,41.87665263,-87.63075542
24,41.79415238,-87.63108909
24,41.75107627,-87.62749493
24,41.73657904,-87.65311539
24,41.75970821,-87.63076186
24,41.75823962,-87.63142705
24,41.75644686,-87.63227999
24,41.75457401,-87.63319731
24,41.75288119,-87.63379812
24,41.75086816,-87.63428628
24,41.74910721,-87.63476908
24,41.74694097,-87.63530552
24,41.74545708,-87.63564885
24,41.80880054,-87.63268232
24,41.80621746,-87.63261795
24,41.80387421,-87.63239264
24,41.80160684,-87.63204932
24,41.8001832,-87.63203323
24,41.79833562,-87.63196349
24,41.79104076,-87.63178647
24,41.78903293,-87.63180256
24,41.78743702,-87.63199568
24,41.77822475,-87.63131976
24,41.77670058,-87.63022006
24,41.7939804,-87.63182938
24,41.85107467,-87.63203323
24,41.84932606,-87.63197958
24,41.84521605,-87.63186482
24,41.8441295,-87.63188303
24,41.84279472,-87.63184011
24,41.84134402,-87.63180792
24,41.83789099,-87.63171673
24,41.83474552,-87.63166308
24,41.83111626,-87.63157189
24,41.82742682,-87.63143241
24,41.81632527,-87.63123393
24,41.81434622,-87.63118029
24,41.81273094,-87.63113737
24,41.81113562,-87.63150215
24,41.7747083,-87.63006449
24,41.76926722,-87.63000011
24,41.76713067,-87.62985528
24,41.76559423,-87.62982309
24,41.76378967,-87.62977481
24,41.76191703,-87.62972653
24,41.85269297,-87.63207078
24,41.796432,-87.62938321
24,41.79536419,-87.62926519
24,41.77247191,-87.63008058
24,41.82384511,-87.63137877
24,41.81932772,-87.6312983
24,41.78559307,-87.63196886
24,41.78378907,-87.63197958
24,41.77990499,-87.63193812
26,41.70265907,-87.53749609
26,41.70266868,-87.54028022
26,41.70267269,-87.54272103
26,41.86938905,-87.62046754
26,41.7734841,-87.57400095
26,41.7735321,-87.56998301
26,41.77347609,-87.5763613
26,41.77355611,-87.56822884
26,41.7735161,-87.57182837
26,41.74466059,-87.54905105
26,41.74462456,-87.55154014
26,41.7301499,-87.54681945
26,41.73018192,-87.54415333
26,41.73010586,-87.55119681
26,41.73011787,-87.54975379
26,41.72670688,-87.53989935
26,41.87324384,-87.62103617
26,41.87318791,-87.62402415
26,41.89675097,-87.62070894
26,41.89669666,-87.62198031
26,41.74339178,-87.55166888
26,41.74127439,-87.55144894
26,41.73911289,-87.55142212
26,41.73725954,-87.55138457
26,41.73544618,-87.55133629
26,41.73398104,-87.55129337
26,41.73181129,-87.55123973
26,41.71188379,-87.53523231
26,41.70995757,-87.53523767
26,41.70813142,-87.53523231
26,41.70629721,-87.53522694
26,41.70446295,-87.53522694
26,41.72483717,-87.5380218
26,41.72265509,-87.53625155
26,41.72127775,-87.53523767
26,41.71946393,-87.53523231
26,41.7176821,-87.53522694
26,41.71574405,-87.53523767
26,41.7445205,-87.55264521
26,41.89649941,-87.62414217
26,41.87552064,-87.62413144
26,41.88804563,-87.62440503
26,41.89167566,-87.62404561
26,41.89017815,-87.62398124
26,41.8948343,-87.62412608
26,41.87812489,-87.62415826
26,41.8824049,-87.62414002
26,41.88066913,-87.62419581
26,41.89322505,-87.6240778
26,41.88468697,-87.62435138
26,41.88669979,-87.62441576
26,41.77195181,-87.56655514
26,41.76979935,-87.56650686
26,41.76839501,-87.56646931
26,41.7668786,-87.56642103
26,41.76595034,-87.56241918
26,41.76416579,-87.56066501
26,41.76248123,-87.55899668
26,41.76076861,-87.55729616
26,41.75898392,-87.55552053
26,41.75727121,-87.55367517
26,41.75549843,-87.55177617
26,41.75234892,-87.54826248
26,41.75028385,-87.54798889
26,41.74845884,-87.54794598
26,41.74670583,-87.54790306
26,41.74486071,-87.54786015
26,41.75361355,-87.54973769
26,41.76633845,-87.56510139
26,41.70280886,-87.53744245
26,41.70282488,-87.53995299
26,41.7028409,-87.5423938
26,41.87011609,-87.6205641
26,41.77341208,-87.57540107
26,41.77342009,-87.57419407
26,41.77346009,-87.57013857
26,41.7734881,-87.5684917
26,41.77345609,-87.57169425
26,41.7735081,-87.56697357
26,41.74471662,-87.54897058
26,41.74469261,-87.55143285
26,41.73008985,-87.54708231
26,41.73012588,-87.54446447
26,41.73004981,-87.55000055
26,41.72670688,-87.54002273
26,41.87318392,-87.62084305
26,41.87314397,-87.62356818
26,41.89679888,-87.62173891
26,41.74348784,-87.55177081
26,41.74120634,-87.5515455
26,41.73938508,-87.55151868
26,41.73748771,-87.55148649
26,41.73568636,-87.55143821
26,41.73384093,-87.5513792
26,41.73199944,-87.55133629
26,41.7102419,-87.5353235
26,41.7084438,-87.53531814
26,41.70657755,-87.5353235
26,41.70480337,-87.53531814
26,41.70290899,-87.53530741
26,41.72481715,-87.53810763
26,41.7231796,-87.53676653
26,41.72145392,-87.53539324
26,41.71968416,-87.53532887
26,41.7179744,-87.53531814
26,41.71599231,-87.53531814
26,41.71250048,-87.53531277
26,41.74419229,-87.55224824
26,41.72874869,-87.54292488
26,41.89435113,-87.62436211
26,41.87457398,-87.62435675
26,41.89013821,-87.62424946
26,41.89113656,-87.62429774
26,41.87842845,-87.62444794
26,41.88519577,-87.62465286
26,41.8812163,-87.62452304
26,41.89271791,-87.62433529
26,41.88693541,-87.62465179
26,41.89583257,-87.62437284
